NAICS Code,NAICS Description,Total Employment,State
71,"Arts, entertainment, and recreation",9064,New York
72,Accommodation and food services,34777,New York
81,Other services (except public administration),61766,New York
99,Industries not classified,0,New York
--,Total,174244,North Carolina
11,"Agriculture, forestry, fishing and hunting",943,North Carolina
21,"Mining, quarrying, and oil and gas extraction",74,North Carolina
22,Utilities,0,North Carolina
23,Construction,29621,North Carolina
31-33,Manufacturing,5754,North Carolina
42,Wholesale trade,8427,North Carolina
44-45,Retail trade,23084,North Carolina
48-49,Transportation and warehousing,4626,North Carolina
51,Information,1464,North Carolina
52,Finance and insurance,7872,North Carolina
53,Real estate and rental and leasing,9584,North Carolina
54,"Professional, scientific, and technical services",22246,North Carolina
55,Management of companies and enterprises,0,North Carolina
56,Administrative and support and waste management and remediation services,9832,North Carolina
61,Educational services,1682,North Carolina
62,Health care and social assistance,13136,North Carolina
71,"Arts, entertainment, and recreation",2583,North Carolina
72,Accommodation and food services,7595,North Carolina
81,Other services (except public administration),25267,North Carolina
99,Industries not classified,0,North Carolina
--,Total,16663,North Dakota
11,"Agriculture, forestry, fishing and hunting",133,North Dakota
21,"Mining, quarrying, and oil and gas extraction",0,North Dakota
22,Utilities,13,North Dakota
23,Construction,2525,North Dakota
31-33,Manufacturing,489,North Dakota
42,Wholesale trade,666,North Dakota
44-45,Retail trade,2152,North Dakota
48-49,Transportation and warehousing,862,North Dakota
51,Information,126,North Dakota
52,Finance and insurance,1205,North Dakota
53,Real estate and rental and leasing,766,North Dakota
54,"Professional, scientific, and technical services",1537,North Dakota
55,Management of companies and enterprises,0,North Dakota
56,Administrative and support and waste management and remediation services,768,North Dakota
61,Educational services,104,North Dakota
62,Health care and social assistance,1190,North Dakota
71,"Arts, entertainment, and recreation",290,North Dakota
72,Accommodation and food services,979,North Dakota
81,Other services (except public administration),2703,North Dakota
99,Industries not classified,0,North Dakota
--,Total,190509,Ohio
11,"Agriculture, forestry, fishing and hunting",252,Ohio
21,"Mining, quarrying, and oil and gas extraction",614,Ohio
22,Utilities,93,Ohio
23,Construction,24038,Ohio
31-33,Manufacturing,8735,Ohio
42,Wholesale trade,9715,Ohio
44-45,Retail trade,23657,Ohio
48-49,Transportation and warehousing,5047,Ohio
51,Information,1326,Ohio
52,Finance and insurance,11252,Ohio
53,Real estate and rental and leasing,8346,Ohio
54,"Professional, scientific, and technical services",24291,Ohio
55,Management of companies and enterprises,0,Ohio
56,Administrative and support and waste management and remediation services,10040,Ohio
61,Educational services,1788,Ohio
62,Health care and social assistance,17344,Ohio
71,"Arts, entertainment, and recreation",3047,Ohio
72,Accommodation and food services,10715,Ohio
81,Other services (except public administration),29865,Ohio
99,Industries not classified,0,Ohio
--,Total,73580,Oklahoma
11,"Agriculture, forestry, fishing and hunting",158,Oklahoma
21,"Mining, quarrying, and oil and gas extraction",0,Oklahoma
22,Utilities,99,Oklahoma
23,Construction,8945,Oklahoma
31-33,Manufacturing,2576,Oklahoma
42,Wholesale trade,2842,Oklahoma
44-45,Retail trade,8840,Oklahoma
48-49,Transportation and warehousing,2243,Oklahoma
51,Information,572,Oklahoma
52,Finance and insurance,5001,Oklahoma
53,Real estate and rental and leasing,3635,Oklahoma
54,"Professional, scientific, and technical services",10036,Oklahoma
55,Management of companies and enterprises,0,Oklahoma
56,Administrative and support and waste management and remediation services,3885,Oklahoma
61,Educational services,451,Oklahoma
62,Health care and social assistance,7458,Oklahoma
71,"Arts, entertainment, and recreation",905,Oklahoma
72,Accommodation and food services,3281,Oklahoma
81,Other services (except public administration),9971,Oklahoma
99,Industries not classified,0,Oklahoma
--,Total,91235,Oregon
11,"Agriculture, forestry, fishing and hunting",1170,Oregon
21,"Mining, quarrying, and oil and gas extraction",88,Oregon
22,Utilities,0,Oregon
23,Construction,15409,Oregon
31-33,Manufacturing,3991,Oregon
42,Wholesale trade,3884,Oregon
44-45,Retail trade,9858,Oregon
48-49,Transportation and warehousing,2499,Oregon
51,Information,1065,Oregon
52,Finance and insurance,4422,Oregon
53,Real estate and rental and leasing,5917,Oregon
54,"Professional, scientific, and technical services",12027,Oregon
55,Management of companies and enterprises,0,Oregon
56,Administrative and support and waste management and remediation services,4856,Oregon
61,Educational services,920,Oregon
62,Health care and social assistance,8892,Oregon
71,"Arts, entertainment, and recreation",1322,Oregon
72,Accommodation and food services,4604,Oregon
81,Other services (except public administration),10010,Oregon
99,Industries not classified,0,Oregon
--,Total,237205,Pennsylvania
11,"Agriculture, forestry, fishing and hunting",658,Pennsylvania
21,"Mining, quarrying, and oil and gas extraction",655,Pennsylvania
22,Utilities,121,Pennsylvania
23,Construction,31110,Pennsylvania
31-33,Manufacturing,8845,Pennsylvania
42,Wholesale trade,10970,Pennsylvania
44-45,Retail trade,29347,Pennsylvania
48-49,Transportation and warehousing,5623,Pennsylvania
51,Information,2063,Pennsylvania
52,Finance and insurance,11967,Pennsylvania
53,Real estate and rental and leasing,8071,Pennsylvania
54,"Professional, scientific, and technical services",29671,Pennsylvania
55,Management of companies and enterprises,0,Pennsylvania
56,Administrative and support and waste management and remediation services,11519,Pennsylvania
61,Educational services,2035,Pennsylvania
62,Health care and social assistance,23092,Pennsylvania
71,"Arts, entertainment, and recreation",3246,Pennsylvania
72,Accommodation and food services,17673,Pennsylvania
81,Other services (except public administration),40254,Pennsylvania
99,Industries not classified,0,Pennsylvania
--,Total,25300,Rhode Island
11,"Agriculture, forestry, fishing and hunting",0,Rhode Island
21,"Mining, quarrying, and oil and gas extraction",0,Rhode Island
22,Utilities,0,Rhode Island
23,Construction,3801,Rhode Island
31-33,Manufacturing,1285,Rhode Island
42,Wholesale trade,1204,Rhode Island
44-45,Retail trade,3286,Rhode Island
48-49,Transportation and warehousing,566,Rhode Island
51,Information,0,Rhode Island
52,Finance and insurance,1080,Rhode Island
53,Real estate and rental and leasing,0,Rhode Island
54,"Professional, scientific, and technical services",3324,Rhode Island
55,Management of companies and enterprises,0,Rhode Island
56,Administrative and support and waste management and remediation services,1390,Rhode Island
61,Educational services,318,Rhode Island
62,Health care and social assistance,2058,Rhode Island
71,"Arts, entertainment, and recreation",358,Rhode Island
72,Accommodation and food services,1718,Rhode Island
81,Other services (except public administration),3554,Rhode Island
99,Industries not classified,0,Rhode Island
--,Total,82479,South Carolina
11,"Agriculture, forestry, fishing and hunting",523,South Carolina
21,"Mining, quarrying, and oil and gas extraction",0,South Carolina
22,Utilities,74,South Carolina
23,Construction,13071,South Carolina
31-33,Manufacturing,2499,South Carolina
42,Wholesale trade,3303,South Carolina
44-45,Retail trade,12534,South Carolina
48-49,Transportation and warehousing,1944,South Carolina
51,Information,544,South Carolina
52,Finance and insurance,3913,South Carolina
53,Real estate and rental and leasing,4675,South Carolina
54,"Professional, scientific, and technical services",10153,South Carolina
55,Management of companies and enterprises,0,South Carolina
56,Administrative and support and waste management and remediation services,4963,South Carolina
61,Educational services,737,South Carolina
62,Health care and social assistance,6076,South Carolina
71,"Arts, entertainment, and recreation",1129,South Carolina
72,Accommodation and food services,3926,South Carolina
81,Other services (except public administration),12209,South Carolina
99,Industries not classified,0,South Carolina
--,Total,20560,South Dakota
11,"Agriculture, forestry, fishing and hunting",123,South Dakota
21,"Mining, quarrying, and oil and gas extraction",42,South Dakota
22,Utilities,0,South Dakota
23,Construction,3683,South Dakota
31-33,Manufacturing,724,South Dakota
42,Wholesale trade,719,South Dakota
44-45,Retail trade,2801,South Dakota
48-49,Transportation and warehousing,1028,South Dakota
51,Information,207,South Dakota
52,Finance and insurance,1320,South Dakota
53,Real estate and rental and leasing,884,South Dakota
54,"Professional, scientific, and technical services",1855,South Dakota
55,Management of companies and enterprises,0,South Dakota
56,Administrative and support and waste management and remediation services,880,South Dakota
61,Educational services,119,South Dakota
62,Health care and social assistance,1406,South Dakota
71,"Arts, entertainment, and recreation",506,South Dakota
72,Accommodation and food services,1167,South Dakota
81,Other services (except public administration),3045,South Dakota
99,Industries not classified,0,South Dakota
--,Total,101018,Tennessee
11,"Agriculture, forestry, fishing and hunting",361,Tennessee
21,"Mining, quarrying, and oil and gas extraction",80,Tennessee
22,Utilities,0,Tennessee
23,Construction,11904,Tennessee
31-33,Manufacturing,3788,Tennessee
42,Wholesale trade,4642,Tennessee
44-45,Retail trade,15603,Tennessee
48-49,Transportation and warehousing,2891,Tennessee
51,Information,1181,Tennessee
52,Finance and insurance,5882,Tennessee
53,Real estate and rental and leasing,4938,Tennessee
54,"Professional, scientific, and technical services",11614,Tennessee
55,Management of companies and enterprises,0,Tennessee
56,Administrative and support and waste management and remediation services,5027,Tennessee
61,Educational services,832,Tennessee
62,Health care and social assistance,9993,Tennessee
71,"Arts, entertainment, and recreation",1942,Tennessee
72,Accommodation and food services,4508,Tennessee
81,Other services (except public administration),15638,Tennessee
99,Industries not classified,0,Tennessee
--,Total,393884,Texas
11,"Agriculture, forestry, fishing and hunting",1062,Texas
21,"Mining, quarrying, and oil and gas extraction",5908,Texas
22,Utilities,1083,Texas
23,Construction,40512,Texas
31-33,Manufacturing,13474,Texas
42,Wholesale trade,22442,Texas
44-45,Retail trade,51526,Texas
48-49,Transportation and warehousing,11192,Texas
51,Information,3744,Texas
52,Finance and insurance,23583,Texas
53,Real estate and rental and leasing,22516,Texas
54,"Professional, scientific, and technical services",58056,Texas
55,Management of companies and enterprises,299,Texas
56,Administrative and support and waste management and remediation services,20402,Texas
61,Educational services,3981,Texas
62,Health care and social assistance,41756,Texas
71,"Arts, entertainment, and recreation",4852,Texas
72,Accommodation and food services,18430,Texas
81,Other services (except public administration),48404,Texas
99,Industries not classified,0,Texas
--,Total,54933,Utah
11,"Agriculture, forestry, fishing and hunting",64,Utah
21,"Mining, quarrying, and oil and gas extraction",310,Utah
22,Utilities,0,Utah
23,Construction,11616,Utah
31-33,Manufacturing,2255,Utah
42,Wholesale trade,2335,Utah
44-45,Retail trade,4947,Utah
48-49,Transportation and warehousing,1769,Utah
51,Information,683,Utah
52,Finance and insurance,3777,Utah
53,Real estate and rental and leasing,4370,Utah
54,"Professional, scientific, and technical services",7646,Utah
55,Management of companies and enterprises,0,Utah
56,Administrative and support and waste management and remediation services,3043,Utah
61,Educational services,609,Utah
62,Health care and social assistance,4803,Utah
71,"Arts, entertainment, and recreation",618,Utah
72,Accommodation and food services,1706,Utah
81,Other services (except public administration),4234,Utah
99,Industries not classified,40,Utah
--,Total,18885,Vermont
11,"Agriculture, forestry, fishing and hunting",147,Vermont
21,"Mining, quarrying, and oil and gas extraction",37,Vermont
22,Utilities,7,Vermont
23,Construction,3388,Vermont
31-33,Manufacturing,774,Vermont
42,Wholesale trade,607,Vermont
44-45,Retail trade,2517,Vermont
48-49,Transportation and warehousing,432,Vermont
51,Information,331,Vermont
52,Finance and insurance,557,Vermont
53,Real estate and rental and leasing,823,Vermont
54,"Professional, scientific, and technical services",2336,Vermont
55,Management of companies and enterprises,0,Vermont
56,Administrative and support and waste management and remediation services,901,Vermont
61,Educational services,283,Vermont
62,Health care and social assistance,1641,Vermont
71,"Arts, entertainment, and recreation",449,Vermont
72,Accommodation and food services,1120,Vermont
81,Other services (except public administration),2502,Vermont
99,Industries not classified,0,Vermont
--,Total,153742,Virginia
11,"Agriculture, forestry, fishing and hunting",842,Virginia
21,"Mining, quarrying, and oil and gas extraction",82,Virginia
22,Utilities,67,Virginia
23,Construction,26026,Virginia
31-33,Manufacturing,3762,Virginia
42,Wholesale trade,4953,Virginia
44-45,Retail trade,17402,Virginia
48-49,Transportation and warehousing,4087,Virginia
51,Information,1485,Virginia
52,Finance and insurance,7356,Virginia
53,Real estate and rental and leasing,7611,Virginia
54,"Professional, scientific, and technical services",25253,Virginia
55,Management of companies and enterprises,74,Virginia
56,Administrative and support and waste management and remediation services,8588,Virginia
61,Educational services,1796,Virginia
62,Health care and social assistance,12108,Virginia
71,"Arts, entertainment, and recreation",2045,Virginia
72,Accommodation and food services,7442,Virginia
81,Other services (except public administration),22556,Virginia
99,Industries not classified,0,Virginia
--,Total,149792,Washington
11,"Agriculture, forestry, fishing and hunting",1250,Washington
21,"Mining, quarrying, and oil and gas extraction",110,Washington
22,Utilities,218,Washington
23,Construction,27249,Washington
31-33,Manufacturing,5468,Washington
42,Wholesale trade,6858,Washington
44-45,Retail trade,15232,Washington
48-49,Transportation and warehousing,3661,Washington
51,Information,1597,Washington
52,Finance and insurance,6555,Washington
53,Real estate and rental and leasing,9593,Washington
54,"Professional, scientific, and technical services",19456,Washington
55,Management of companies and enterprises,90,Washington
56,Administrative and support and waste management and remediation services,8275,Washington
61,Educational services,1699,Washington
62,Health care and social assistance,14666,Washington
71,"Arts, entertainment, and recreation",2093,Washington
72,Accommodation and food services,8566,Washington
81,Other services (except public administration),16882,Washington
99,Industries not classified,0,Washington
--,Total,30858,West Virginia
11,"Agriculture, forestry, fishing and hunting",453,West Virginia
21,"Mining, quarrying, and oil and gas extraction",381,West Virginia
22,Utilities,0,West Virginia
23,Construction,4564,West Virginia
31-33,Manufacturing,756,West Virginia
42,Wholesale trade,884,West Virginia
44-45,Retail trade,4047,West Virginia
48-49,Transportation and warehousing,1216,West Virginia
51,Information,197,West Virginia
52,Finance and insurance,1432,West Virginia
53,Real estate and rental and leasing,1613,West Virginia
54,"Professional, scientific, and technical services",3125,West Virginia
55,Management of companies and enterprises,0,West Virginia
56,Administrative and support and waste management and remediation services,1073,West Virginia
61,Educational services,198,West Virginia
62,Health care and social assistance,3038,West Virginia
71,"Arts, entertainment, and recreation",588,West Virginia
72,Accommodation and food services,1865,West Virginia
81,Other services (except public administration),5314,West Virginia
99,Industries not classified,0,West Virginia
--,Total,106472,Wisconsin
11,"Agriculture, forestry, fishing and hunting",608,Wisconsin
21,"Mining, quarrying, and oil and gas extraction",74,Wisconsin
22,Utilities,21,Wisconsin
23,Construction,17435,Wisconsin
31-33,Manufacturing,5002,Wisconsin
42,Wholesale trade,4630,Wisconsin
44-45,Retail trade,12604,Wisconsin
48-49,Transportation and warehousing,4253,Wisconsin
51,Information,759,Wisconsin
52,Finance and insurance,5785,Wisconsin
53,Real estate and rental and leasing,4351,Wisconsin
54,"Professional, scientific, and technical services",10749,Wisconsin
55,Management of companies and enterprises,82,Wisconsin
56,Administrative and support and waste management and remediation services,5211,Wisconsin
61,Educational services,852,Wisconsin
62,Health care and social assistance,8168,Wisconsin
71,"Arts, entertainment, and recreation",2241,Wisconsin
72,Accommodation and food services,8041,Wisconsin
81,Other services (except public administration),15449,Wisconsin
99,Industries not classified,0,Wisconsin
--,Total,17782,Wyoming
11,"Agriculture, forestry, fishing and hunting",0,Wyoming
21,"Mining, quarrying, and oil and gas extraction",621,Wyoming
22,Utilities,0,Wyoming
23,Construction,3264,Wyoming
31-33,Manufacturing,524,Wyoming
42,Wholesale trade,0,Wyoming
44-45,Retail trade,2000,Wyoming
48-49,Transportation and warehousing,833,Wyoming
51,Information,123,Wyoming
52,Finance and insurance,706,Wyoming
53,Real estate and rental and leasing,0,Wyoming
54,"Professional, scientific, and technical services",2045,Wyoming
55,Management of companies and enterprises,0,Wyoming
56,Administrative and support and waste management and remediation services,885,Wyoming
61,Educational services,0,Wyoming
62,Health care and social assistance,1435,Wyoming
71,"Arts, entertainment, and recreation",411,Wyoming
72,Accommodation and food services,768,Wyoming
81,Other services (except public administration),2217,Wyoming
99,Industries not classified,37,Wyoming
